phase,source_url,destination_url,link_type,anchor_text,http_status,evidence,recommended_action
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,http://pillar.press/,external,Pillar.Press,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,https://www.toddmotto.com/,external,Todd Motto,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,https://github.com/html5blank/,external,HTML5Blank,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,http://html5blank.com/,external,landing page,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,http://pillar.press/,external,Pillar Press,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,http://pillar.press/,external,Pillar Press,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,https://www.github.com/pillarpress/pillar-press-content-blocks/,external,Github,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,https://www.github.com/pillarpress/pillar-press-content-blocks/,external,Content Blocks plugin,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://robertdevore.com/page-speed-optimization/,internal,web performance,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://robertdevore.com/projects/boostbox/,internal,BoostBox,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://robertdevore.com/projects/boostbox/,internal,BoostBox,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://robertdevore.com/projects/boostbox/,internal,BoostBox,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://robertdevore.com/projects/boostbox/,internal,BoostBox,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://deviodigital.com/product/boostbox-pro/,external,BoostBox Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://deviodigital.com/product/boostbox-pro/,external,BoostBox Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://deviodigital.com/product/boostbox-pro/,external,BoostBox Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://deviodigital.com/product/boostbox-pro/,external,BoostBox Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,https://deviodigital.com/product/boostbox-pro/,external,upgrade to Pro,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
