phase,url,page_depth,internal_inbound_links,internal_outbound_links,external_outbound_links,orphan,pages_over_three_clicks,broken_internal_links,redirect_chain,crawlable_html_links,issues
baseline,https://robertdevore.com/,0,330,26,8,False,False,0,False,True,
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,2,6,18,13,False,False,0,False,True,
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,3,6,19,2,False,False,0,False,True,
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,3,5,18,26,False,False,0,False,True,
baseline,https://robertdevore.com/7-days-full-time-wp-dispensary/,3,6,21,17,False,False,0,False,True,
baseline,https://robertdevore.com/about/,1,381,15,2,False,False,0,False,True,
baseline,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,3,6,19,16,False,False,0,False,True,
baseline,https://robertdevore.com/back-to-basics/,3,5,20,9,False,False,0,False,True,
baseline,https://robertdevore.com/blog/,1,531,52,2,False,False,0,False,True,
baseline,https://robertdevore.com/blog/page/10/,3,6,55,2,False,False,0,False,True,
baseline,https://robertdevore.com/blog/page/11/,3,5,54,2,False,False,0,False,True,
baseline,https://robertdevore.com/blog/page/12/,2,12,34,2,False,False,0,False,True,
baseline,https://robertdevore.com/blog/page/2/,2,5,54,2,False,False,0,False,True,
baseline,https://robertdevore.com/blog/page/3/,2,6,55,2,False,False,0,False,True,
baseline,https://robertdevore.com/blog/page/4/,3,6,56,2,False,False,0,False,True,
baseline,https://robertdevore.com/blog/page/5/,3,6,56,2,False,False,0,False,True,
baseline,https://robertdevore.com/blog/page/6/,4,6,56,2,False,True,0,False,True,more than three clicks from homepage
baseline,https://robertdevore.com/blog/page/7/,4,6,56,2,False,True,0,False,True,more than three clicks from homepage
baseline,https://robertdevore.com/blog/page/8/,4,6,56,2,False,True,0,False,True,more than three clicks from homepage
baseline,https://robertdevore.com/blog/page/9/,4,6,56,2,False,True,0,False,True,more than three clicks from homepage
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,3,5,23,8,False,False,5,False,True,5 broken internal links
baseline,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,3,5,18,24,False,False,0,False,True,
baseline,https://robertdevore.com/cannabis-health-benefits/,3,5,18,27,False,False,0,False,True,
baseline,https://robertdevore.com/cannabiz/,3,8,19,22,False,False,0,False,True,
baseline,https://robertdevore.com/category/,unreachable,0,27,2,True,False,0,False,True,orphan
baseline,https://robertdevore.com/category/ai-content-systems/,unreachable,3,25,2,False,False,0,False,True,
baseline,https://robertdevore.com/category/developer-tools/,unreachable,3,22,2,False,False,0,False,True,
baseline,https://robertdevore.com/category/engineering-archive/,unreachable,3,15,2,False,False,0,False,True,
baseline,https://robertdevore.com/category/field-notes/,unreachable,3,13,2,False,False,0,False,True,
baseline,https://robertdevore.com/category/wordpress-archive/,unreachable,3,122,2,False,False,0,False,True,
baseline,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,3,5,21,5,False,False,3,False,True,3 broken internal links
baseline,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,3,6,19,16,False,False,0,False,True,
baseline,https://robertdevore.com/clean-blog-free-wordpress-theme/,3,10,19,20,False,False,0,False,True,
