phase,page_url,image_url,alt_text,alt_present,decorative,width,height,loading,format,local_exists,file_bytes,issues
baseline,https://robertdevore.com/,https://robertdevore.com/assets/art/signal-a-1920.webp?v=1.0.5,,True,True,1920,800,eager,webp,True,108274,
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/assets/art/signal-a-1920.webp?v=1.0.5,,True,True,1920,800,eager,webp,True,108274,
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/wp-content/uploads/2023/08/giphy-1230.gif,,True,True,,,default,gif,False,0,missing intrinsic dimensions; missing local image
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/assets/legacy-images/combine_txt_python_script_example.webp,,True,True,,,default,webp,True,126092,missing intrinsic dimensions
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/assets/legacy-images/password_cracker_python_script_example.webp,,True,True,,,default,webp,True,236806,missing intrinsic dimensions
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/assets/legacy-images/regex_scanner_python_script_example.webp,,True,True,,,default,webp,True,94220,missing intrinsic dimensions
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/assets/legacy-images/xss_scanner_python_script_example.webp,,True,True,,,default,webp,True,177564,missing intrinsic dimensions
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/assets/art/signal-c-1920.webp?v=1.0.5,,True,True,1920,800,eager,webp,True,93840,
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/assets/legacy-images/what_questions_to_ask_before_writing_with_ai_1024x683.webp,What questions should you ask before writing with AI?,True,False,,,default,webp,True,100174,missing intrinsic dimensions
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/assets/legacy-images/aim_before_you_fire_website_content_with_ai_1024x683.webp,This is how you aim before you fire while writing AI content,True,False,,,default,webp,True,152044,missing intrinsic dimensions
