phase,url,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,sitemap_included,sitemap_lastmod,duplicate_title,duplicate_description,reason
baseline,https://robertdevore.com/,200,200,True,"index, follow (default)",https://robertdevore.com/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,200,200,True,"index, follow (default)",https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,200,True,2023-08-09,False,False,indexable canonical HTML
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,200,200,True,"index, follow (default)",https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,200,True,2025-05-20,False,False,indexable canonical HTML
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,200,200,True,"index, follow (default)",https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,200,True,2018-05-14,False,False,indexable canonical HTML
baseline,https://robertdevore.com/7-days-full-time-wp-dispensary/,200,200,True,"index, follow (default)",https://robertdevore.com/7-days-full-time-wp-dispensary/,200,True,2017-10-03,False,False,indexable canonical HTML
baseline,https://robertdevore.com/about/,200,200,True,"index, follow (default)",https://robertdevore.com/about/,200,True,,False,False,indexable canonical HTML
baseline,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,200,200,True,"index, follow (default)",https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,200,True,2023-09-30,False,False,indexable canonical HTML
baseline,https://robertdevore.com/back-to-basics/,200,200,True,"index, follow (default)",https://robertdevore.com/back-to-basics/,200,True,2018-04-16,False,False,indexable canonical HTML
baseline,https://robertdevore.com/blog/,200,200,True,"index, follow (default)",https://robertdevore.com/blog/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/blog/page/10/,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/10/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/blog/page/11/,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/11/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/blog/page/12/,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/12/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/blog/page/2/,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/2/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/blog/page/3/,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/3/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/blog/page/4/,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/4/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/blog/page/5/,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/5/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/blog/page/6/,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/6/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/blog/page/7/,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/7/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/blog/page/8/,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/8/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/blog/page/9/,200,200,True,"index, follow (default)",https://robertdevore.com/blog/page/9/,200,True,,True,True,indexable canonical HTML
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,200,200,True,"index, follow (default)",https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,200,True,2025-02-11,False,False,indexable canonical HTML
baseline,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,200,200,True,"index, follow (default)",https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,200,True,2024-01-11,False,False,indexable canonical HTML
baseline,https://robertdevore.com/cannabis-health-benefits/,200,200,True,"index, follow (default)",https://robertdevore.com/cannabis-health-benefits/,200,True,2016-04-20,False,False,indexable canonical HTML
baseline,https://robertdevore.com/cannabiz/,200,200,True,"index, follow (default)",https://robertdevore.com/cannabiz/,200,True,2016-06-14,False,False,indexable canonical HTML
baseline,https://robertdevore.com/category/,200,200,True,"index, follow (default)",https://robertdevore.com/category/,200,True,,False,True,indexable canonical HTML
baseline,https://robertdevore.com/category/ai-content-systems/,200,200,True,"index, follow (default)",https://robertdevore.com/category/ai-content-systems/,200,True,2025-05-27,False,False,indexable canonical HTML
baseline,https://robertdevore.com/category/developer-tools/,200,200,True,"index, follow (default)",https://robertdevore.com/category/developer-tools/,200,True,2025-07-03,False,False,indexable canonical HTML
baseline,https://robertdevore.com/category/engineering-archive/,200,200,True,"index, follow (default)",https://robertdevore.com/category/engineering-archive/,200,True,2016-12-20,False,False,indexable canonical HTML
baseline,https://robertdevore.com/category/field-notes/,200,200,True,"index, follow (default)",https://robertdevore.com/category/field-notes/,200,True,2016-06-21,False,False,indexable canonical HTML
baseline,https://robertdevore.com/category/wordpress-archive/,200,200,True,"index, follow (default)",https://robertdevore.com/category/wordpress-archive/,200,True,2025-06-20,True,True,indexable canonical HTML
baseline,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,200,200,True,"index, follow (default)",https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,200,True,2025-05-15,False,False,indexable canonical HTML
baseline,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,200,200,True,"index, follow (default)",https://robertdevore.com/chapters-for-authors-wordpress-plugin/,200,True,2016-09-27,False,False,indexable canonical HTML
baseline,https://robertdevore.com/clean-blog-free-wordpress-theme/,200,200,True,"index, follow (default)",https://robertdevore.com/clean-blog-free-wordpress-theme/,200,True,2015-08-07,False,False,indexable canonical HTML
baseline,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,200,200,True,"index, follow (default)",https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,200,True,2025-06-19,False,False,indexable canonical HTML
baseline,https://robertdevore.com/contact/,200,200,True,"index, follow (default)",https://robertdevore.com/contact/,200,True,,False,False,indexable canonical HTML
baseline,https://robertdevore.com/creating-my-own-cipher-code/,200,200,True,"index, follow (default)",https://robertdevore.com/creating-my-own-cipher-code/,200,True,2022-11-28,False,False,indexable canonical HTML
baseline,https://robertdevore.com/customer-loyalty-for-woocommerce-v2/,200,200,True,"index, follow (default)",https://robertdevore.com/customer-loyalty-for-woocommerce-v2/,200,True,2024-11-13,False,False,indexable canonical HTML
baseline,https://robertdevore.com/db-version-control-wordpress-plugin/,200,200,True,"index, follow (default)",https://robertdevore.com/db-version-control-wordpress-plugin/,200,True,2025-05-28,False,False,indexable canonical HTML
baseline,https://robertdevore.com/december-2024-a-retrospective/,200,200,True,"index, follow (default)",https://robertdevore.com/december-2024-a-retrospective/,200,True,2025-01-04,False,False,indexable canonical HTML
