phase,source_url,destination_url,anchor_text,link_context,destination_status,source_depth,destination_depth
baseline,https://robertdevore.com/,https://robertdevore.com/,RD:// Robert DeVore,header,200,0,0
baseline,https://robertdevore.com/,https://robertdevore.com/blog/,Writing,navigation,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/projects/,Projects,navigation,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/about/,About,navigation,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/contact/,Contact,navigation,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/blog/,Writing,navigation,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/projects/,Projects,navigation,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/about/,About,navigation,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/contact/,Contact,navigation,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/projects/,Explore projects,section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/projects/kujo/,View Project,section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/leap-the-code-of-extreme-leadership/,LEAP: The Code of Extreme Leadership,section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/forever-forward/,[non-text link],section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/forever-forward/,Forever Forward,section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/forever-forward/,Read Article,section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/zero-cool-cli-a-hackers-terminal-from-1995/,[non-text link],section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/zero-cool-cli-a-hackers-terminal-from-1995/,Zero Cool CLI – A Hacker’s Terminal from 1995,section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/zero-cool-cli-a-hackers-terminal-from-1995/,Read Article,section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/stattic-v1-0-the-worlds-fastest-python-based-static-site-generator/,[non-text link],section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/stattic-v1-0-the-worlds-fastest-python-based-static-site-generator/,Stattic v1.0: The World’s Fastest Python-based Static Site Generator,section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/stattic-v1-0-the-worlds-fastest-python-based-static-site-generator/,Read Article,section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/blog/,Read more writing,section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/about/,About,section,200,0,1
baseline,https://robertdevore.com/,https://robertdevore.com/feed/index.xml,RSS,navigation,200,0,unknown
baseline,https://robertdevore.com/,https://robertdevore.com/llms.txt,LLMs,navigation,200,0,unknown
baseline,https://robertdevore.com/,https://robertdevore.com/sitemap.xml,Sitemap,navigation,200,0,unknown
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/,RD:// Robert DeVore,header,200,2,0
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/blog/,Writing,navigation,200,2,1
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/projects/,Projects,navigation,200,2,1
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/about/,About,navigation,200,2,1
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/contact/,Contact,navigation,200,2,1
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/blog/,Writing,navigation,200,2,1
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/projects/,Projects,navigation,200,2,1
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/about/,About,navigation,200,2,1
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/contact/,Contact,navigation,200,2,1
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/,Home,navigation,200,2,0
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/blog/,Writing,navigation,200,2,1
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/tag/wordpress/,WordPress,navigation,200,2,2
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/stattic-v1-0-the-worlds-fastest-python-based-static-site-generator/,Stattic v1.0: The World’s Fastest Python-based Static Site Generator,article,200,2,1
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios/,Grateful to See 20 of My WordPress Plugins Live On at WebDevStudios,article,200,2,2
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/the-fastest-way-for-php-devs-to-learn-python/,The Fastest Way for PHP Devs to Learn Python,article,200,2,2
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/feed/index.xml,RSS,navigation,200,2,unknown
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/llms.txt,LLMs,navigation,200,2,unknown
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,https://robertdevore.com/sitemap.xml,Sitemap,navigation,200,2,unknown
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/,RD:// Robert DeVore,header,200,3,0
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/blog/,Writing,navigation,200,3,1
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/projects/,Projects,navigation,200,3,1
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/about/,About,navigation,200,3,1
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/contact/,Contact,navigation,200,3,1
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/blog/,Writing,navigation,200,3,1
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/projects/,Projects,navigation,200,3,1
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/about/,About,navigation,200,3,1
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/contact/,Contact,navigation,200,3,1
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/,Home,navigation,200,3,0
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/blog/,Writing,navigation,200,3,1
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/tag/ai/,AI,navigation,200,3,2
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/plan-prompt-publish-a-practical-guide-to-creating-beautifully-useful-content-with-ai/,Plan. Prompt. Publish.,article,200,3,3
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/how-to-build-a-content-engine-that-scales-with-you/,How to build a content engine that scales with you,article,200,3,3
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,https://robertdevore.com/tools-and-workflows-for-formatting-visuals-and-citations/,"Tools and Workflows for Formatting, Visuals, and Citations",article,200,3,3
