phase,url,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,estimated_page_bytes,local_request_count,lcp_ms,cls,inp_ms,ttfb_ms,source,notes
baseline,https://robertdevore.com/,15055,163838,20149,132398,273860,605300,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,793.3,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,15813,163838,20149,767080,273860,1240740,15,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,880.5,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,16879,163838,20149,481588,273860,956314,14,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,881.9,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,18789,163838,20149,154834,273860,631470,12,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,902.8,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/7-days-full-time-wp-dispensary/,16246,163838,20149,1380652,273860,1854745,16,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,881.2,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/about/,10302,163838,20149,153700,273860,621849,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,780.4,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,16907,163838,20149,7628974,273860,8103728,15,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,878.9,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/back-to-basics/,13592,163838,20149,153700,273860,625139,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,877.4,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/blog/,18955,163838,20149,153700,273860,630502,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,513.2,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/blog/page/10/,18395,163838,20149,153700,273860,629942,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,614.1,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/blog/page/11/,17485,163838,20149,153700,273860,629032,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,633.3,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/blog/page/12/,13122,163838,20149,153700,273860,624669,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,633.5,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/blog/page/2/,19169,163838,20149,153700,273860,630716,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,581.6,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/blog/page/3/,18871,163838,20149,153700,273860,630418,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,599.6,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/blog/page/4/,19368,163838,20149,153700,273860,630915,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,571.9,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/blog/page/5/,19253,163838,20149,153700,273860,630800,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,577.3,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/blog/page/6/,19147,163838,20149,153700,273860,630694,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,466.3,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/blog/page/7/,18815,163838,20149,153700,273860,630362,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,523.7,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/blog/page/8/,19344,163838,20149,153700,273860,630891,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,480.5,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/blog/page/9/,18447,163838,20149,153700,273860,629994,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,480.3,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,17383,163838,20149,1698294,273860,2173524,16,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,480.6,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,23451,163838,20149,6548674,273860,7029972,30,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,467.1,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/cannabis-health-benefits/,21294,163838,20149,132398,273860,611539,11,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,454.2,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
baseline,https://robertdevore.com/cannabiz/,15734,163838,20149,396920,273860,870501,14,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — LAB MEASUREMENT REQUIRED,NOT AVAILABLE — FIELD DATA REQUIRED,447.0,local generated asset inventory; production HEAD/GET probe where enabled,Estimated uncompressed bytes; browser transfer and cache behavior differ.
