phase,url,schema_types,json_ld_blocks,valid_json,visible_match,google_rich_result_eligible,issues,recommended_action
baseline,https://robertdevore.com/,Organization; WebSite,1,True,True,site-name only,,retain and validate
baseline,https://robertdevore.com/5-python-scripts-for-osint-and-pentesting/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/5-questions-you-must-answer-before-writing-anything/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/5-things-i-learned-building-my-first-gutenberg-blocks-plugin/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/7-days-full-time-wp-dispensary/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/about/,Organization; WebSite,1,True,True,none identified,,retain and validate
baseline,https://robertdevore.com/all-in-one-wp-migration-plugin-ddos-attack/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/back-to-basics/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/blog/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/blog/page/10/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/blog/page/11/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/blog/page/12/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/blog/page/2/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/blog/page/3/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/blog/page/4/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/blog/page/5/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/blog/page/6/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/blog/page/7/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/blog/page/8/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/blog/page/9/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/boostbox-free-popups-that-work-pro-popups-that-convert/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/boostbox-wordpress-popup-builder-for-the-core-editor/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/cannabis-health-benefits/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/cannabiz/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/category/,Organization; WebSite,1,True,False,none identified,listing represented as WebSite,"use page-type-appropriate, visible, factual schema"
baseline,https://robertdevore.com/category/ai-content-systems/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/category/developer-tools/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/category/engineering-archive/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/category/field-notes/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/category/wordpress-archive/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/clean-blog-free-wordpress-theme/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/contact/,Organization; WebSite,1,True,True,none identified,,retain and validate
baseline,https://robertdevore.com/creating-my-own-cipher-code/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/customer-loyalty-for-woocommerce-v2/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/db-version-control-wordpress-plugin/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/december-2024-a-retrospective/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/delivery-drivers-for-woocommerce/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/devio-digital/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/dispensary-wordpress-plugins-2017/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/do-less-deliver-more/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/docupress-documentation-plugin-for-wordpress/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/dont-shoot-the-messenger-choose-courage-over-convenience/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/extreme-programming-for-extreme-leaders/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/focus/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/forever-forward/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/going-all-in-one-year-later/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/going-all-in-with-wp-dispensary/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/goodbye-wordpress-a-eulogy/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/hello-2017/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/honoring-jesse-petersen-with-the-revival-of-stealth-login-page/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/host-your-wordpress-plugins-on-github-and-automate-plugin-packaging/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/how-a-security-audit-can-save-your-e-commerce-store-from-disaster/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/how-hungry-are-you/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/how-i-use-textexpander-to-reuse-my-best-ai-prompts/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/how-to-block-website-tracking-data-in-woocommerce/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/how-to-build-a-content-engine-that-scales-with-you/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/how-to-build-modular-prompts-that-save-you-hours-per-week/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/how-to-customize-the-style-of-your-wordpress-login-screen/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/how-to-edit-ai-content-so-it-feels-clean-not-robotic/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/how-to-stop-your-plugins-themes-from-being-used-on-wordpress-com-hosting/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/how-to-teach-ai-to-match-your-voice/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/how-to-use-ai-to-research-validate-ideas-and-stay-relevant/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/how-to-write-prompts-that-get-the-tone-structure-and-intent-right/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
baseline,https://robertdevore.com/hue-js/,BlogPosting; Organization; Person,1,True,True,Article,,retain and validate
